id,token_cnt
1,705
2,72
3,1318
4,251
5,2026
6,717
7,837
8,805
9,340
10,553
11,293
12,688
13,232
14,574
15,567
16,765
17,656
18,944
19,822
20,616
21,29
22,394
23,623
24,502
25,836
26,180
27,910
28,911
29,629
30,259
31,142
32,210
33,245
34,871
35,420
36,360
37,1397
38,1178
39,409
40,385
41,404
42,255
43,1216
44,77
45,764
46,157
47,887
48,100
49,546
50,293
51,543
52,1182
53,968
54,367
55,861
56,150
57,804
58,196
59,965
60,499
61,56
62,115
63,635
64,193
65,1210
66,350
67,491
68,1085
69,419
70,643
71,1240
72,394
73,2033
74,57
75,142
76,886
77,1233
78,521
79,324
80,437
81,545
82,753
83,385
84,1656
85,1377
86,1257
87,760
88,370
89,452
90,47
91,1047
92,1051
93,601
94,676
95,734
96,582
97,263
98,427
99,1671
100,391
101,1954
102,690
103,677
104,823
105,1499
106,973
107,238
108,1327
109,441
110,634
111,100
112,88
113,507
114,894
115,1586
116,602
117,258
118,45
119,535
120,872
121,1017
122,1079
123,473
124,874
125,673
126,201
127,917
128,1054
129,415
130,554
131,618
132,1623
133,1025
134,1047
135,227
136,1462
137,908
138,340
139,306
140,772
141,537
142,1235
143,430
144,372
145,987
146,847
147,381
148,383
149,575
150,332
151,1927
152,489
153,378
154,748
155,156
156,76
157,562
158,1196
159,164
160,799
161,782
162,564
163,514
164,977
165,627
166,1194
167,572
168,558
169,1151
170,438
171,826
172,473
173,1080
174,54
175,929
176,62
177,452
178,1119
179,914
180,1291
181,227
182,683
183,162
184,711
185,576
186,132
187,872
188,510
189,810
190,562
191,652
192,1019
193,383
194,414
195,639
196,777
197,149
198,402
199,589
200,1231
201,415
202,577
203,47
204,879
205,1333
206,813
207,113
208,503
209,177
210,303
211,217
212,883
213,1050
214,1097
215,116
216,1232
217,174
218,138
219,911
220,494
221,105
222,1077
223,3899
224,1130
225,794
226,45
227,1107
228,60
229,307
230,12
231,348
232,421
233,462
234,553
235,461
236,778
237,93
238,1935
239,1015
240,624
241,697
242,691
243,1092
244,482
245,78
246,201
247,361
248,232
249,1318
250,543
251,623
252,527
253,647
254,993
255,984
256,1015
257,410
258,164
259,458
260,961
261,451
262,664
263,460
264,651
265,1055
266,261
267,1033
268,733
269,60
270,372
271,1170
272,182
273,541
274,138
275,753
276,166
277,508
278,250
279,544
280,320
281,599
282,2199
283,1073
284,1065
285,175
286,356
287,224
288,245
289,1088
290,557
291,1199
292,453
293,699
294,326
295,497
296,559
297,1134
298,242
299,1700
300,389
301,1249
302,291
303,308
304,1444
305,466
306,549
307,229
308,67
309,685
310,652
311,483
312,638
313,216
314,976
315,48
316,1640
317,527
318,504
319,402
320,238
321,959
322,232
323,1235
324,538
325,645
326,993
327,736
328,1159
329,980
330,1687
331,720
332,1665
333,639
334,273
335,52
336,1067
337,425
338,799
339,485
340,272
341,1801
342,263
343,453
344,1408
345,24
346,533
347,99
348,521
349,1497
350,797
351,404
352,545
353,319
354,641
355,662
356,667
357,821
358,472
359,968
360,2613
361,403
362,637
363,553
364,1114
365,379
366,857
367,537
368,285
369,309
370,142
371,828
372,830
373,1220
374,796
375,318
376,731
377,807
378,804
379,214
380,512
381,1197
382,1317
383,406
384,698
385,759
386,639
387,609
388,647
389,396
390,517
391,350
392,1771
393,69
394,357
395,689
396,1491
397,657
398,472
399,283
400,569
401,1083
402,157
403,901
404,195
405,600
406,312
407,811
408,2101
409,210
410,312
411,346
412,461
413,166
414,280
415,351
416,783
417,618
418,478
419,325
420,360
421,397
422,453
423,1005
424,855
425,196
426,591
427,1137
428,637
429,1516
430,552
431,787
432,668
433,72
434,327
435,933
436,2106
437,368
438,38
439,384
440,573
441,510
442,554
443,1080
444,1049
445,782
446,612
447,816
448,474
449,428
450,716
451,220
452,528
453,436
454,132
455,485
456,449
457,784
458,1219
459,458
460,397
461,811
462,262
463,291
464,824
465,88
466,679
467,1048
468,1853
469,1409
470,126
471,266
472,98
473,1535
474,513
475,700
476,1559
477,655
478,559
479,247
480,920
481,967
482,202
483,444
484,411
485,1831
486,1263
487,1295
488,1831
489,66
490,567
491,520
492,419
493,783
494,1186
495,566
496,236
497,310
498,478
499,538
500,54
501,414
502,203
503,183
504,277
505,680
506,387
507,530
508,875
509,400
510,568
511,198
512,672
513,102
514,84
515,368
516,583
517,459
518,1046
519,1394
520,448
521,973
522,330
523,977
524,209
525,297
526,647
527,427
528,419
529,1794
530,1207
531,876
532,105
533,950
534,259
535,1314
536,519
537,407
538,153
539,1471
540,348
541,1190
542,399
543,560
544,679
545,95
546,96
547,310
548,573
549,571
550,791
551,406
552,1023
553,43
554,822
555,673
556,514
557,538
558,503
559,1181
560,1898
561,1059
562,403
563,208
564,597
565,1576
566,1180
567,779
568,705
569,134
570,1059
571,323
572,1016
573,83
574,769
575,556
576,447
577,452
578,533
579,120
580,303
581,197
582,747
583,1081
584,891
585,543
586,501
587,273
588,436
589,1118
590,191
591,1107
592,753
593,563
594,728
595,221
596,463
597,713
598,583
599,73
600,1600
601,117
602,915
603,670
604,199
605,481
606,297
607,341
608,681
609,160
610,414
611,1152
612,888
613,256
614,510
615,2061
616,386
617,281
618,274
619,467
620,346
621,1169
622,452
623,792
624,632
625,324
626,505
627,195
628,654
629,723
630,975
631,1436
632,918
633,746
634,506
635,461
636,355
637,412
638,984
639,665
640,350
641,133
642,152
643,875
644,1318
645,570
646,1160
647,1186
648,1017
649,660
650,2095
651,25
652,671
653,233
654,1198
655,1514
656,628
657,1086
658,896
659,826
660,136
661,207
662,657
663,38
664,851
665,58
666,228
667,863
668,261
669,147
670,704
671,58
672,251
673,401
674,143
675,740
676,168
677,570
678,69
679,396
680,310
681,631
682,38
683,941
684,805
685,417
686,470
687,37
688,466
689,245
690,706
691,206
692,208
693,1351
694,1318
695,785
696,749
697,921
698,451
699,1134
700,411
701,1543
702,330
703,1154
704,611
705,455
706,748
707,150
708,553
709,15
710,727
711,227
712,1097
713,547
714,399
715,271
716,399
717,197
718,727
719,213
720,650
721,188
722,345
