id,token_cnt
1,504
2,46
3,956
4,180
5,1383
6,485
7,552
8,585
9,221
10,336
11,206
12,460
13,149
14,413
15,379
16,564
17,511
18,674
19,482
20,422
21,18
22,266
23,423
24,352
25,588
26,126
27,656
28,659
29,431
30,176
31,90
32,132
33,180
34,602
35,323
36,248
37,1008
38,905
39,309
40,276
41,266
42,170
43,796
44,52
45,524
46,119
47,595
48,67
49,401
50,189
51,393
52,816
53,662
54,262
55,600
56,110
57,612
58,149
59,739
60,338
61,41
62,87
63,447
64,130
65,854
66,237
67,345
68,753
69,314
70,405
71,827
72,282
73,1425
74,42
75,89
76,678
77,835
78,348
79,223
80,323
81,360
82,560
83,274
84,918
85,918
86,843
87,541
88,266
89,323
90,30
91,735
92,757
93,451
94,479
95,490
96,421
97,178
98,293
99,1092
100,245
101,1309
102,479
103,452
104,603
105,1018
106,641
107,174
108,918
109,345
110,459
111,70
112,55
113,350
114,662
115,1130
116,426
117,165
118,29
119,378
120,617
121,715
122,743
123,301
124,611
125,497
126,141
127,598
128,787
129,260
130,406
131,442
132,1070
133,733
134,759
135,139
136,1052
137,630
138,247
139,204
140,514
141,389
142,881
143,283
144,262
145,744
146,548
147,275
148,265
149,405
150,220
151,1219
152,340
153,284
154,525
155,107
156,56
157,368
158,883
159,112
160,545
161,562
162,413
163,332
164,693
165,472
166,858
167,383
168,369
169,824
170,321
171,561
172,340
173,741
174,41
175,679
176,47
177,320
178,786
179,632
180,993
181,165
182,454
183,109
184,510
185,393
186,86
187,669
188,333
189,576
190,392
191,489
192,653
193,284
194,298
195,429
196,529
197,100
198,268
199,445
200,870
201,291
202,386
203,34
204,623
205,903
206,430
207,75
208,368
209,125
210,172
211,143
212,646
213,790
214,783
215,77
216,846
217,110
218,99
219,657
220,365
221,79
222,799
223,2185
224,842
225,517
226,32
227,748
228,43
229,234
230,5
231,240
232,257
233,330
234,374
235,328
236,578
237,65
238,1478
239,726
240,439
241,469
242,481
243,733
244,321
245,58
246,137
247,254
248,164
249,949
250,385
251,436
252,340
253,417
254,671
255,647
256,683
257,291
258,114
259,317
260,591
261,317
262,473
263,302
264,434
265,719
266,159
267,694
268,538
269,37
270,274
271,839
272,132
273,369
274,95
275,511
276,105
277,335
278,191
279,357
280,224
281,451
282,1576
283,736
284,809
285,109
286,239
287,162
288,175
289,820
290,409
291,887
292,318
293,487
294,232
295,349
296,402
297,798
298,183
299,1115
300,255
301,873
302,196
303,203
304,946
305,320
306,361
307,146
308,41
309,526
310,426
311,318
312,450
313,139
314,704
315,36
316,1210
317,357
318,350
319,313
320,166
321,692
322,161
323,847
324,368
325,455
326,690
327,521
328,757
329,706
330,1107
331,396
332,1197
333,485
334,195
335,37
336,736
337,301
338,534
339,327
340,206
341,1166
342,189
343,293
344,1016
345,19
346,325
347,68
348,367
349,1055
350,516
351,263
352,418
353,215
354,455
355,431
356,485
357,565
358,318
359,716
360,1516
361,278
362,415
363,433
364,756
365,264
366,609
367,359
368,192
369,206
370,105
371,577
372,636
373,875
374,587
375,219
376,543
377,487
378,574
379,131
380,369
381,805
382,948
383,255
384,500
385,552
386,451
387,437
388,450
389,283
390,357
391,236
392,1289
393,45
394,272
395,499
396,1129
397,447
398,298
399,216
400,367
401,660
402,111
403,530
404,123
405,439
406,218
407,597
408,1447
409,139
410,201
411,237
412,327
413,115
414,168
415,250
416,533
417,422
418,355
419,232
420,264
421,280
422,292
423,712
424,589
425,130
426,378
427,807
428,450
429,1121
430,370
431,486
432,456
433,60
434,225
435,633
436,1460
437,270
438,23
439,266
440,433
441,330
442,374
443,760
444,668
445,527
446,447
447,566
448,324
449,295
450,521
451,147
452,408
453,341
454,90
455,368
456,333
457,510
458,852
459,317
460,260
461,572
462,200
463,226
464,556
465,65
466,493
467,773
468,1339
469,1012
470,96
471,184
472,75
473,1069
474,404
475,476
476,1129
477,465
478,350
479,186
480,690
481,650
482,151
483,301
484,262
485,1320
486,893
487,971
488,1293
489,49
490,385
491,395
492,272
493,571
494,886
495,446
496,160
497,219
498,328
499,369
500,36
501,270
502,115
503,125
504,179
505,502
506,274
507,359
508,652
509,275
510,402
511,139
512,486
513,64
514,68
515,267
516,443
517,312
518,722
519,911
520,328
521,719
522,219
523,715
524,139
525,205
526,489
527,292
528,294
529,1244
530,794
531,621
532,73
533,635
534,185
535,950
536,388
537,285
538,110
539,1030
540,251
541,850
542,271
543,341
544,485
545,59
546,69
547,232
548,408
549,432
550,569
551,292
552,665
553,30
554,570
555,452
556,345
557,353
558,352
559,832
560,1384
561,759
562,257
563,167
564,409
565,1132
566,802
567,542
568,498
569,90
570,742
571,234
572,731
573,53
574,505
575,373
576,298
577,336
578,332
579,79
580,218
581,139
582,474
583,784
584,648
585,355
586,346
587,200
588,290
589,788
590,149
591,739
592,536
593,425
594,495
595,156
596,340
597,501
598,425
599,44
600,919
601,82
602,655
603,482
604,125
605,344
606,208
607,250
608,412
609,112
610,288
611,768
612,621
613,181
614,353
615,1485
616,262
617,202
618,180
619,319
620,215
621,828
622,297
623,555
624,446
625,226
626,340
627,132
628,466
629,509
630,694
631,1056
632,645
633,507
634,380
635,328
636,249
637,286
638,688
639,471
640,252
641,91
642,115
643,603
644,938
645,389
646,862
647,893
648,649
649,508
650,1569
651,21
652,521
653,153
654,901
655,1050
656,438
657,731
658,659
659,552
660,86
661,131
662,431
663,34
664,580
665,35
666,157
667,581
668,183
669,103
670,517
671,39
672,184
673,302
674,93
675,542
676,118
677,380
678,43
679,271
680,200
681,402
682,27
683,659
684,630
685,251
686,326
687,30
688,317
689,164
690,498
691,159
692,144
693,994
694,977
695,556
696,496
697,608
698,341
699,766
700,282
701,1119
702,180
703,822
704,420
705,356
706,521
707,103
708,411
709,10
710,506
711,156
712,787
713,392
714,260
715,199
716,261
717,144
718,532
719,142
720,446
721,116
722,226
723,304
724,464
725,320
726,674
727,329
728,618
729,555
730,248
731,476
732,351
733,44
734,132
735,229
736,178
737,112
738,326
739,662
740,393
741,688
742,332
743,377
744,179
745,157
746,245
747,530
748,19
749,212
750,194
751,889
752,456
753,386
754,432
755,456
756,610
757,280
758,327
759,286
760,992
761,677
762,959
763,522
764,470
765,126
766,490
767,374
768,1429
769,223
770,400
771,553
772,35
773,391
774,441
775,276
776,511
777,273
778,470
779,1221
780,146
781,429
782,114
783,560
784,181
785,205
786,820
787,310
788,118
789,360
790,173
791,203
792,304
793,765
794,467
795,302
796,354
797,410
798,527
799,193
800,231
801,106
802,2199
803,1055
804,522
805,488
806,999
807,509
808,462
809,140
810,70
811,266
812,150
813,840
814,906
815,177
816,267
817,564
818,221
819,339
820,78
821,272
822,112
823,58
824,184
825,261
826,185
827,699
828,248
829,438
830,416
831,1006
832,102
833,553
834,346
835,185
836,320
837,371
838,464
839,1318
840,229
841,371
842,1129
843,72
844,421
845,244
846,680
847,250
848,228
849,958
850,69
851,503
852,827
853,811
854,417
855,554
856,324
857,561
858,678
859,359
860,439
861,49
862,42
863,453
864,926
865,306
866,154
867,129
868,1098
869,278
870,205
871,662
872,412
873,248
874,137
875,550
876,395
877,345
878,286
879,228
880,412
881,145
882,681
883,46
884,696
885,633
886,292
887,414
888,278
889,687
890,374
891,324
892,176
893,873
894,238
895,345
896,19
897,496
898,343
899,639
900,599
901,516
902,584
903,445
904,138
905,36
906,431
907,975
908,564
909,257
910,507
911,73
912,108
913,179
914,657
915,565
916,139
917,19
918,138
919,591
920,270
921,527
922,930
923,521
924,60
925,653
926,132
927,314
928,470
929,434
930,100
931,418
932,441
933,426
934,473
935,710
936,656
937,125
938,713
939,757
940,319
941,602
942,344
943,500
944,176
945,283
946,544
947,885
948,564
949,463
950,300
951,837
952,922
953,507
954,326
955,708
956,969
957,636
958,882
959,378
960,788
961,2060
962,312
963,473
964,158
965,332
966,608
967,674
968,389
969,97
970,827
971,35
972,628
973,250
974,268
975,204
976,272
977,664
978,342
979,326
980,148
981,479
982,324
983,304
984,409
985,321
986,989
987,908
988,264
989,184
990,677
991,233
992,1389
993,784
994,248
995,131
996,380
997,1118
998,185
999,480
1000,652
1001,611
1002,420
1003,185
1004,1060
1005,381
1006,636
1007,413
1008,267
1009,212
1010,1103
1011,603
1012,333
1013,190
1014,229
1015,304
1016,722
1017,260
1018,398
1019,139
1020,163
1021,229
1022,120
1023,400
1024,290
1025,223
1026,14
1027,559
1028,44
1029,269
1030,616
1031,802
1032,506
1033,562
1034,523
1035,193
1036,587
1037,273
1038,359
1039,377
1040,1077
1041,358
1042,544
1043,164
1044,334
1045,422
1046,831
1047,1094
1048,200
1049,257
1050,294
1051,155
1052,611
1053,540
1054,339
1055,319
1056,776
1057,528
1058,411
1059,286
1060,543
1061,330
1062,367
1063,401
1064,185
1065,755
1066,218
1067,799
1068,412
1069,273
1070,311
1071,335
1072,20
1073,597
1074,792
1075,471
1076,98
1077,934
1078,705
1079,49
1080,61
1081,99
1082,355
1083,115
1084,308
1085,201
1086,163
1087,265
1088,1221
1089,741
1090,212
1091,444
1092,341
1093,254
1094,493
1095,190
1096,54
1097,350
1098,730
1099,277
1100,192
1101,1375
1102,610
1103,893
1104,857
1105,224
1106,675
1107,304
1108,737
1109,545
1110,356
1111,311
1112,354
1113,658
1114,145
1115,362
1116,215
1117,759
1118,479
1119,788
1120,469
1121,572
1122,428
1123,1143
1124,927
1125,596
1126,703
1127,569
1128,740
1129,177
1130,84
1131,596
1132,597
1133,288
1134,536
1135,367
1136,284
1137,731
