ngram,Frequency,relative_freq
"('DET', 'NOUN')",420429,9.747896081240466
"('ADP', 'NOUN')",305390,7.080648538159894
"('NOUN', 'ADP')",265895,6.1649335048758145
"('NOUN', 'PUNCT')",240037,5.565400416366896
"('VERB', 'DET')",179159,4.153907827526076
"('VERB', 'ADP')",155127,3.596711633580438
"('NOUN', 'ADJ')",125527,2.9104180524889385
"('ADP', 'DET')",119887,2.7796513025782614
"('ADP', 'VERB')",103920,2.4094469238861005
"('ADJ', 'PUNCT')",93011,2.156515279422345
"('AUX', 'VERB')",92622,2.1474960833735413
"('PUNCT', 'VERB')",89665,2.0789362820462585
"('PRON', 'VERB')",70083,1.6249159812039025
"('NOUN', 'CCONJ')",69075,1.6015449024964625
"('ADJ', 'ADP')",58057,1.3460860282915255
"('PUNCT', 'DET')",54838,1.271451601347825
"('ADJ', 'NOUN')",54098,1.2542942618205375
"('VERB', 'ADV')",52992,1.2286509949054294
"('PUNCT', 'ADP')",52212,1.2105662316199102
"('VERB', 'PUNCT')",48338,1.1207452406351646
"('PUNCT', 'ADV')",46768,1.0843438581245683
"('ADV', 'VERB')",45175,1.0474092069529886
"('NOUN', 'VERB')",45129,1.046342669631022
"('NOUN', 'AUX')",39739,0.9213723182092931
"('PUNCT', 'SCONJ')",38229,0.8863620713360443
"('PUNCT', 'AUX')",36676,0.8503548439226966
"('NOUN', 'ADV')",36662,0.8500302456073152
"('DET', 'ADJ')",36490,0.8460423234469187
"('ADV', 'ADP')",36077,0.8364666731431759
"('ADV', 'ADJ')",33867,0.7852265105008714
"('NOUN', 'PRON')",33728,0.7820037129410161
"('DET', 'DET')",33417,0.7747929932207641
"('CCONJ', 'VERB')",32369,0.7504944907550922
"('PUNCT', 'NOUN')",31973,0.7413129955485978
"('VERB', 'NOUN')",28940,0.670991089080675
"('ADP', 'PRON')",28930,0.6707592331411171
"('ADJ', 'CCONJ')",28312,0.6564305360764364
"('SCONJ', 'DET')",26241,0.6084131709939873
"('ADV', 'DET')",25948,0.6016197919649396
"('SCONJ', 'VERB')",25591,0.5933425349227213
"('AUX', 'ADV')",25183,0.5838828125887574
"('PRON', 'AUX')",25091,0.5817497379448243
"('PROPN', 'PUNCT')",25003,0.5797094056767145
"('PUNCT', 'SPACE')",24641,0.5713162206647171
"('AUX', 'ADJ')",23820,0.5522808480270103
"('CCONJ', 'DET')",23754,0.5507505988259279
"('ADV', 'PUNCT')",23696,0.5494058343764919
"('VERB', 'SCONJ')",23591,0.5469713470111335
"('VERB', 'VERB')",22369,0.5186385511971534
"('PUNCT', 'PUNCT')",21334,0.4946414614529067
"('PUNCT', 'CCONJ')",21308,0.49403863601005604
"('CCONJ', 'ADP')",20178,0.467838914840009
"('CCONJ', 'NOUN')",19851,0.4602572256164643
"('NUM', 'NOUN')",19637,0.45529550850992445
"('ADV', 'AUX')",19589,0.4541826000000464
"('PUNCT', 'PRON')",19102,0.44289121574357476
"('ADP', 'ADJ')",19093,0.4426825453979726
"('SCONJ', 'AUX')",18675,0.4329909671244508
"('PRON', 'PRON')",18163,0.4211199430190843
"('PUNCT', 'PROPN')",17937,0.41587999878507487
"('NOUN', 'DET')",16816,0.38988894796062995
"('ADJ', 'VERB')",14925,0.3460449897902237
"('NOUN', 'SCONJ')",14865,0.344653854152876
"('SCONJ', 'PRON')",14059,0.32596626542450624
"('CCONJ', 'ADJ')",13986,0.3242737170657332
"('VERB', 'CCONJ')",13836,0.32079587797236414
"('AUX', 'DET')",13272,0.3077192029812964
"('PRON', 'ADP')",13209,0.30625851056208137
"('ADV', 'ADV')",12712,0.2947352703660518
"('AUX', 'AUX')",12628,0.29278768047376513
"('CCONJ', 'ADV')",12585,0.291790699933666
"('NOUN', 'NOUN')",12197,0.282794689478818
"('VERB', 'ADJ')",11746,0.27233798660475494
"('ADP', 'ADV')",11665,0.27045995349433566
"('SCONJ', 'ADV')",11159,0.2587280429527039
"('ADP', 'PROPN')",11105,0.25747602087909105
"('ADP', 'NUM')",11032,0.25578347252031813
"('PRON', 'PUNCT')",10894,0.25258386055441856
"('VERB', 'PRON')",10874,0.2521201486753027
"('ADV', 'PRON')",10309,0.23902028809027914
"('ADV', 'SCONJ')",10009,0.23206460990354097
"('PUNCT', 'ADJ')",9313,0.2159274365103084
"('ADJ', 'AUX')",8986,0.20834574728676383
"('NUM', 'PUNCT')",8868,0.20560984719998013
"('NOUN', 'PROPN')",8291,0.19223175948748708
"('PUNCT', 'NUM')",8213,0.19042328315893517
"('ADJ', 'ADJ')",7849,0.1819837269590262
"('PROPN', 'PROPN')",7011,0.1625541992240709
"('ADJ', 'ADV')",6852,0.15886768978509969
"('CCONJ', 'PRON')",6552,0.1519120115983615
"('ADV', 'NOUN')",6433,0.14915292591762205
"('PRON', 'ADV')",6353,0.14729807840115852
"('CCONJ', 'AUX')",6176,0.14319422827098302
"('ADJ', 'PRON')",6076,0.14087566887540365
"('PROPN', 'ADP')",6020,0.13957727561387917
"('SPACE', 'VERB')",5907,0.13695730349687446
"('ADJ', 'SCONJ')",5828,0.13512564157436674
"('AUX', 'ADP')",5637,0.13069719312881012
"('ADP', 'AUX')",5406,0.12534132092502173
"('DET', 'PRON')",5293,0.12272134880801702
"('ADJ', 'DET')",5225,0.12114472841902305
"('PRON', 'ADJ')",4901,0.11363259597734583
"('SPACE', 'DET')",4582,0.10623639150544757
"('DET', 'PROPN')",4351,0.10088051930165919
"('PROPN', 'CCONJ')",4125,0.09564057506764977
"('PRON', 'DET')",3312,0.07679068718158934
"('AUX', 'NOUN')",3279,0.07602556258104815
"('ADV', 'NUM')",3244,0.07521406679259536
"('DET', 'NUM')",3243,0.07519088119863956
"('PROPN', 'VERB')",3242,0.07516769560468377
"('ADP', 'PUNCT')",3211,0.07444894219205415
"('ADV', 'CCONJ')",3187,0.0738924879371151
"('VERB', 'NUM')",3140,0.07280276502119279
"('SPACE', 'SCONJ')",3050,0.07071606156517134
"('ADP', 'ADP')",2973,0.06893077083057522
"('SPACE', 'ADP')",2874,0.06663539702895162
"('CCONJ', 'SCONJ')",2853,0.06614849955587995
"('DET', 'ADV')",2781,0.06447913679106279
"('SPACE', 'NOUN')",2753,0.06382994016030055
"('CCONJ', 'PUNCT')",2689,0.062346062147129754
"('VERB', 'AUX')",2671,0.06192872145592546
"('AUX', 'PRON')",2583,0.0598883891878156
"('NUM', 'CCONJ')",2580,0.05981883240594822
"('NOUN', 'NUM')",2570,0.05958697646639028
"('SPACE', 'PROPN')",2550,0.0591232645872744
"('PROPN', 'AUX')",2521,0.058450882362556376
"('CCONJ', 'NUM')",2484,0.057593015386192006
"('PRON', 'NOUN')",2425,0.05622506534280016
"('SCONJ', 'ADP')",2360,0.05471800173567356
"('PROPN', 'ADJ')",2290,0.05309501015876799
"('PRON', 'CCONJ')",2121,0.04917664478023883
"('VERB', 'PROPN')",2016,0.04674215741488046
"('NUM', 'ADP')",1960,0.045443764153356006
"('PROPN', 'ADV')",1837,0.04259193609679336
"('DET', 'PUNCT')",1833,0.04249919372097019
"('DET', 'VERB')",1832,0.042476008127014395
"('SCONJ', 'NOUN')",1747,0.04050523264077192
"('SPACE', 'ADV')",1726,0.040018335167700245
"('CCONJ', 'PROPN')",1636,0.03793163171167879
"('SCONJ', 'ADJ')",1617,0.037491105426518706
"('PROPN', 'NOUN')",1577,0.036563681668286954
"('NUM', 'SYM')",1573,0.036470939292463776
"('ADP', 'SCONJ')",1572,0.03644775369850798
"('PROPN', 'DET')",1432,0.03320177054469684
"('SPACE', 'AUX')",1295,0.03002534417275308
"('ADJ', 'PROPN')",1219,0.028263239032112742
"('PROPN', 'NUM')",1122,0.026014236418400737
"('AUX', 'PUNCT')",1101,0.02552733894532907
"('PROPN', 'PRON')",1027,0.023811604992600318
"('X', 'PUNCT')",969,0.022466840543164272
"('PRON', 'SCONJ')",960,0.022258170197562127
"('SCONJ', 'PUNCT')",870,0.020171466741540675
"('ADJ', 'NUM')",800,0.018548475164635106
"('SYM', 'NUM')",725,0.016809555617950566
"('PUNCT', 'X')",713,0.01653132849048104
"('NUM', 'PROPN')",616,0.014282325876769031
"('NUM', 'ADJ')",610,0.01414321231303427
"('SPACE', 'PRON')",577,0.01337808771249307
"('SYM', 'ADP')",563,0.013053489397111956
"('SYM', 'PUNCT')",503,0.011662353759764323
"('PROPN', 'SCONJ')",413,0.009575650303742874
"('NUM', 'VERB')",409,0.009482907927919698
"('X', 'NOUN')",407,0.00943653674000811
"('NOUN', 'X')",391,0.009065567236715408
"('SCONJ', 'SCONJ')",381,0.00883371129715747
"('PRON', 'NUM')",373,0.008648226545511119
