POS,Frequency,relative_freq
NOUN,911536,21.08561532057544
ADP,624679,14.4500503467134
VERB,555074,12.839950192261295
DET,510589,11.810924901394234
PUNCT,483122,11.175559325037131
ADJ,291540,6.743891947833726
ADV,230631,5.334947327367908
AUX,180909,4.184779956063153
PRON,158135,3.6579726732890387
CCONJ,145285,3.360726972768824
SCONJ,103283,2.389138341387497
PROPN,58394,1.3507677382239234
NUM,38194,0.883502123398372
SPACE,26488,0.6127193864108519
X,2389,0.05526225513951696
SYM,2358,0.05454516434448765
INTJ,348,0.008049922473232274
PART,69,0.001596105317968468
