ngram,Frequency,relative_freq
"('NOUN', 'ADP', 'NOUN')",155008,3.6023038681634123
"('VERB', 'DET', 'NOUN')",147221,3.4213381101290627
"('DET', 'NOUN', 'ADP')",126375,2.9368881047375055
"('ADP', 'DET', 'NOUN')",100332,2.3316625703226386
"('ADP', 'NOUN', 'PUNCT')",97077,2.2560180933222775
"('DET', 'NOUN', 'PUNCT')",89092,2.0704509200971226
"('ADP', 'NOUN', 'ADP')",79123,1.8387766370812715
"('DET', 'NOUN', 'ADJ')",65046,1.5116346085915393
"('VERB', 'ADP', 'NOUN')",63763,1.4818183677339472
"('NOUN', 'ADJ', 'PUNCT')",51552,1.1980411914969564
"('NOUN', 'PUNCT', 'VERB')",46991,1.092045965813809
"('PUNCT', 'DET', 'NOUN')",45600,1.0597198621248685
"('ADP', 'VERB', 'DET')",43287,1.0059669664868243
"('NOUN', 'ADP', 'DET')",42623,0.9905359579681638
"('ADP', 'NOUN', 'ADJ')",41369,0.96139366175973
"('VERB', 'ADP', 'VERB')",37755,0.8774062147922019
"('PUNCT', 'VERB', 'DET')",34560,0.8031561060314792
"('NOUN', 'ADP', 'VERB')",32489,0.7550271622933081
"('VERB', 'ADP', 'DET')",32145,0.7470327843860504
"('DET', 'DET', 'NOUN')",30933,0.718866545945363
"('AUX', 'VERB', 'ADP')",30832,0.7165193594086392
"('DET', 'ADJ', 'NOUN')",30685,0.7131031572215261
"('NOUN', 'ADJ', 'ADP')",30005,0.6973003171722956
"('NOUN', 'PUNCT', 'DET')",29664,0.6893756576770197
"('DET', 'NOUN', 'CCONJ')",28089,0.6527734913865226
"('DET', 'NOUN', 'VERB')",27326,0.6350417752724596
"('DET', 'NOUN', 'AUX')",26890,0.6249093660644235
"('NOUN', 'PUNCT', 'ADP')",26677,0.6199593588137087
"('ADP', 'NOUN', 'CCONJ')",26574,0.6175656933356635
"('AUX', 'VERB', 'DET')",25741,0.5982072142753562
"('ADJ', 'ADP', 'NOUN')",25206,0.5857740974719174
"('PUNCT', 'VERB', 'ADP')",23379,0.5433155845749408
"('NOUN', 'PUNCT', 'ADV')",23301,0.5415029058634114
"('PRON', 'VERB', 'ADP')",23062,0.5359486723755201
"('PUNCT', 'ADP', 'NOUN')",22226,0.5165204749032308
"('SCONJ', 'DET', 'NOUN')",20878,0.48519366845269746
"('ADV', 'DET', 'NOUN')",20679,0.4805690137912315
"('DET', 'NOUN', 'ADV')",20313,0.4720633675294398
