country,measure,statistic,value
DE,doclen-space_tokenized,mean,446.9533
DE,doclen-space_tokenized,std,294.9986
DE,doclen-space_tokenized,median,391.0
DE,doclen-bert_tokenized,mean,665.9828
DE,doclen-bert_tokenized,std,437.901
DE,doclen-bert_tokenized,median,585.0
DE,STTR,space_tokenized_STTR,0.4119
DE,vendi_score,ngram_vendiscore,331.2764
DE,vendi_score,embedding_vendiscore,1.5597
DE,STTR,lemma_STTR,0.3634
EN,STTR,lemma_STTR,0.3371
EN,vendi_score,embedding_vendiscore,1.4587
EN,vendi_score,ngram_vendiscore,397.2526
EN,STTR,space_tokenized_STTR,0.3686
EN,doclen-bert_tokenized,median,458.5
EN,doclen-bert_tokenized,std,345.8354
EN,doclen-bert_tokenized,mean,514.4286
EN,doclen-space_tokenized,median,389.5
EN,doclen-space_tokenized,std,278.6166
EN,doclen-space_tokenized,mean,433.9028
ES,STTR,lemma_STTR,0.3403
ES,vendi_score,embedding_vendiscore,1.6129
ES,vendi_score,ngram_vendiscore,379.3544
ES,STTR,space_tokenized_STTR,0.39
ES,doclen-bert_tokenized,median,548.0
ES,doclen-bert_tokenized,std,399.5412
ES,doclen-bert_tokenized,mean,612.772
ES,doclen-space_tokenized,median,403.0
ES,doclen-space_tokenized,std,291.2781
ES,doclen-space_tokenized,mean,452.9162
FR,doclen-bert_tokenized,std,446.489
FR,vendi_score,embedding_vendiscore,1.5089
FR,vendi_score,ngram_vendiscore,311.8114
FR,STTR,space_tokenized_STTR,0.368
FR,doclen-bert_tokenized,median,654.0
FR,doclen-bert_tokenized,mean,727.8026
FR,doclen-space_tokenized,median,478.0
FR,doclen-space_tokenized,std,326.8444
FR,doclen-space_tokenized,mean,533.135
FR,STTR,lemma_STTR,0.32
IT,vendi_score,ngram_vendiscore,542.651
IT,STTR,space_tokenized_STTR,0.4418
IT,doclen-bert_tokenized,median,543.5
IT,doclen-bert_tokenized,std,428.6303
IT,doclen-space_tokenized,mean,432.6604
IT,doclen-space_tokenized,median,378.0
IT,doclen-space_tokenized,std,295.1963
IT,vendi_score,embedding_vendiscore,1.6528
IT,doclen-bert_tokenized,mean,622.2387
IT,STTR,lemma_STTR,0.3833
